;1913;1917;1922;1928;1932;1937;1940;1945;1950;1955;1960;1965;1970;1975;1980;1985;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Улов рыбы, тыс. т;822;699;370;643;970;1267;1079;915;1320;2125;2449;4223;5520;7299;6834;7770;7879;6966;5314;4369;3543;3936;4137;4108;4084;4020;3776;3621;3258;3285;2965;3212;3264;3417;3333;3728;4028;4265;4270;4297;4235;4493;4812
Уголь, млн. т;6;;;10,3;23,3;53,4;72,8;105;160,2;227,3;294,5;325,9;344,8;381,1;391,4;395,2;395,4;353;337;306;272;263;257;245;232;250;258;270;256;277;282;299;310;314;329;301;322;336;357;353;357;372;386
Газ природный и попутный, млн. м3;17;;;127;519,8;180;209,9;1495;2867;4291;24412;64258;83321;115217;253990;429892;640566;643000;641000;618000;607000;595000;601000;571000;591000;592000;584000;581000;595000;620000;633000;641000;656000;653000;664000;583000;651000;671000;655000;668000;642000;634000;641000
Железная руда, тыс. т;2346;;;1411;3644;10584;9681;12046;18621;30859;39706;54120;64692;86811;92356;103923;106826;;;;;;;;;;;;;;;;;;;;;;;;;;
Добыча соли, млн. т;1,2;;;1,2;1;1,4;1,9;1,5;2;2,5;2,8;4,4;5,8;6,6;6,9;6;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;
Мясо, тыс. т;;;;;313;654;859;421;928;1440;2435;2830;3610;4910;4416;5232;6484;5700;4686;3970;3224;2370;1900;1510;1315;1113;1194;1284;1456;1677;1776;1857;2185;2561;2899;3460;3957;4250;4747;5321;5957;6631;7060
Масло животное, тыс. т;103;39;16;68;60;139;141;82,6;197;246;384;559;486;628;611;721;833;729;762;732;488;421;323;292;276;262;267;271;279;285;276;254;268;272;272;225;212;219;216;227;253;258;253
Масло растительное, тыс. т;323;187;46;300;295;259;422;139;362;498;598;1186;984;1266;823;775;1159;1165;994;1127;909;802;879;687;782;881;1375;1281;1197;1598;1895;2200;2755;2735;2485;3188;3091;3073;4192;3940;4981;4660;5199
Консервы, млн. условных банок;63;;;76;422;549;549;305;757;1587;2118;3019;4501;5902;5999;7058;8207;;;;;;;;;;;;;;;;;;;;;;;;;;
Кондитерские изделия, тыс. т;90;34;13;80;341;577;501;152;627;865;1020;1338;1647;1787;2084;2268;2869;2641;1829;1746;1530;1372;1262;1370;1403;1509;1628;1793;1958;2167;2233;2419;2557;2739;2845;2738;2890;3037;3108;3289;3451;3495;3569
Сахар-песок, тыс. т;249;154;36;235;260;517;359;62,8;430;708;1626;3086;2915;2844;2994;3642;3758;3425;3923;3918;2736;3155;3294;3778;4745;6808;6077;6590;6167;5841;4828;5600;5833;6112;5873;5077;4750;7124;5322;4959;5249;5743;6045
Спирт, млн. дкл;27;;;;24,3;48,9;51;16,7;39,2;73,1;105;154;186;207;198;191;156;;;;;;;;;;;;;;;;;;;;;;;;;;
